href,salary,position,city,work_year,company
/job_detail/7d614a47687e51821nF52Nm-E1FZ.html,20-40K,游戏动作设计师,上海,3-5年,完美世界
/job_detail/34967e3a8f8842721nV42tm_FlRX.html,25-50K·15薪,高级Android开发工程师,北京,3-5年,完美世界
/job_detail/48cd244764ab00c11nV92dy9E1NX.html,10-15K·13薪,次时代场景组长,成都,3-5年,完美世界
/job_detail/381b107c5816e4fa1nBz2N-8ElRR.html,35-60K·15薪,后端架构师（golang）,北京,5-10年,完美世界
/job_detail/83b7da0622690b650HFy2tm8EFM~.html,12-20K,游戏平台产品经理,北京,3-5年,完美世界
/job_detail/91ed0437c2b83d8f03Z609W6FVs~.html,25-50K·14薪,高级角色模型师,上海,3-5年,完美世界
/job_detail/4f165d604dca48501nF82N2-F1BT.html,200-250元/天,蒸汽平台市场实习生,上海,4天/周,完美世界
/job_detail/a2efeba5150c33751nB829u8F1JX.html,40-60K·16薪,互联网教育产品总监,北京,5-10年,完美世界
/job_detail/0bead4417b86f87f1nZ929u_ElVW.html,15-30K·14薪,3D场景建模,北京,3-5年,完美世界
/job_detail/cded2a69eb0fb9bc1nF_09-1GFVY.html,20-40K,Java/c++游戏服务器工程师,北京,3-5年,完美世界
/job_detail/1f4bc0b7d91430141nF72Ny_ElBV.html,25-50K,游戏引擎开发工程师,北京,3-5年,完美世界
/job_detail/076f41e8bf4c34611nZ72968ElpQ.html,15-30K·15薪,电竞平台产品经理,上海,3-5年,完美世界
/job_detail/c9628053db0860201nF639q9FFpQ.html,20-21K,游戏数据分析师,上海,1-3年,完美世界
/job_detail/df3672ed098dc80d1nF939W8FVFR.html,4-6K·13薪,在线客服,成都,1年以内,完美世界
/job_detail/5f8b508b082e322133xy2dy1GVM~.html,4-6K·13薪,游戏审核（违规类）,成都,1-3年,完美世界
